Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
944652,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,"Munger, Charles T.",Peter E. Kaufman,"=""157864366X""","=""9781578643660""",4,4.40,Donning Co Pub,Hardcover,512,2006,2005,2025/11/30,2025/11/02,,,read,,,,1,0
18392442,The Coming of the Martians,H.G. Wells,"Wells, H.G.",,"=""""","=""""",0,3.70,William Heinemann,Hardcover,137,1898,1898,,2025/11/27,to-read,to-read (#109),to-read,,,,0,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",5,4.20,Plume,Paperback,368,2022,1949,2025/11/25,2025/11/25,,,read,,,,1,0
39899254,In the Realm of Hungry Ghosts: Close encounters with addiction,Gabor Maté,"Maté, Gabor",,"=""1785042203""","=""9781785042201""",0,4.48,Vermilion,Paperback,496,2018,2007,,2025/11/09,currently-reading,currently-reading (#7),currently-reading,,,,1,0
12913026,പ്രവാസം | Pravaasam,M. Mukundan,"Mukundan, M.",,"=""812641989X""","=""9788126419890""",5,4.01,DC Books,Paperback,432,2008,2008,2025/11/02,2024/10/06,,,read,,,,1,0
216370635,15 Math Concepts Every Data Scientist Should Know: Understand and learn how to apply the math behind data science algorithms,David Hoyle,"Hoyle, David",,"=""1837631948""","=""9781837631940""",0,4.00,Packt Publishing,Kindle Edition,852,2024,,,2025/01/13,currently-reading,currently-reading (#6),currently-reading,,,,1,0
55145261,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"Green, John",,"=""0525555218""","=""9780525555216""",0,4.35,Dutton,Hardcover,304,2021,2021,,2021/12/20,to-read,to-read (#104),to-read,,,,0,0
122750218,റൂത്തിന്റെ ലോകം | Roothinte Lokam,Lajo Jose,"Jose, Lajo",,"=""""","=""""",3,3.68,DC books ,Paperback,232,2020,,2024/11/05,2024/11/05,,,read,,,,1,0
324750,High Output Management,Andrew S. Grove,"Grove, Andrew S.",,"=""0679762884""","=""9780679762881""",4,4.30,Vintage,Paperback,272,1995,1983,2024/10/16,2024/10/16,,,read,,,,1,0
15775987,പടച്ചോന്റെ തിരക്കഥകള്‍ | Padachonte Thirakkathakal,Sreenivasan,"Sreenivasan, Sreenivasan",,"=""""","=""""",3,3.40,Olive Publications,Paperback,137,2008,,2024/10/14,2024/10/14,,,read,,,,1,0
40036164,"കോഫി ഹൗസ് | Coffee House (Esther Immanuel, #1)",Lajo Jose,"Jose, Lajo",,"=""9387331741""","=""9789387331747""",3,3.47,"Green Books, Thrissur, Kerala",Paperback,232,2018,,2024/10/13,2024/10/13,,,read,,,,1,0
216949254,Gypsy's Run on Wednesday,Mary Zareah,"Zareah, Mary",,"=""9390075467""","=""9789390075461""",2,4.00,Current Books,Paperback,120,2024,,2024/10/12,2024/08/03,,,read,,,,1,0
53956383,പുറ്റ് | Puttu,Vinoy Thomas,"Thomas, Vinoy",,"=""9353904099""","=""9789353904098""",0,3.84,DC Books,Paperback,382,2020,,,2024/10/12,,,read,,,,1,0
42950440,"Heaven's River (Bobiverse, #4)",Dennis E. Taylor,"Taylor, Dennis E.",Ray Porter,"=""""","=""""",5,4.29,Audible Studios,Audible Audio,,2020,2020,2024/09/19,2024/09/11,,,read,,,,1,0
35506021,"All These Worlds (Bobiverse, #3)",Dennis E. Taylor,"Taylor, Dennis E.",,"=""""","=""""",5,4.40,Worldbuilders Press,Kindle Edition,336,2017,2017,2022/03/28,2022/03/20,,,read,,,,2,0
33395557,"For We Are Many (Bobiverse, #2)",Dennis E. Taylor,"Taylor, Dennis E.",Ray Porter,"=""""","=""""",5,4.37,Audible Studios,Audible Audio,311,2017,2017,2022/03/20,2022/03/07,,,read,,,,2,0
32700929,ഒരു പോലീസ് സര്‍ജന്റെ ഓര്‍മ്മക്കുറുപ്പുകള്‍ | ORU POLICE SURGEONTE ORMAKKURIPPUKAL,B. Umadathan,"Umadathan, B.",,"=""8126427752""","=""9788126427758""",5,4.12,DC Books,Paperback,292,2013,,2024/08/28,2020/03/15,,,read,,,,1,0
6659874,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,"Benioff, Marc",Carlye Adler,"=""0470521163""","=""9780470521168""",2,3.78,Wiley-Blackwell,Hardcover,304,2009,2009,2024/08/15,2024/08/15,,,read,,,,1,0
18176747,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers―Straight Talk on the Challenges of Entrepreneurship,Ben Horowitz,"Horowitz, Ben",,"=""0062273205""","=""9780062273208""",5,4.20,Harper Business,Hardcover,304,2014,2014,2020/01/29,2020/01/13,,,read,"As the author puts it, there will be both war time and peace time in any company. While most of the business books brags from a peace time perspective, this books points out the never ending struggles of running a business. I felt it more closer to reality than any other business book that I’ve read. ",,,2,0
36083103,"Serious Python: Black-Belt Advice on Deployment, Scalability, Testing, and More",Julien Danjou,"Danjou, Julien",,"=""1593278780""","=""9781593278786""",4,4.09,No Starch Press,Paperback,240,2018,,2020/03/23,2020/02/18,,,read,,,,1,0
60810700,ആഗസ്റ്റ് 17 [August 17],S. Hareesh,"Hareesh, S.",,"=""9354825753""","=""9789354825750""",5,3.95,DC BOOKS,Paperback,368,2022,2022,2024/08/01,2024/06/18,,,read,,,,1,0
7761875,ഭാസ്കരപട്ടേലരും എന്റെ ജീവിതവും [Bhaskarapattelarum Ente Jeevithavum],സക്കറിയ,"സക്കറിയ, സക്കറിയ",Paul Zacharia,"=""""","=""""",4,3.90,ഡി സി ബുക്‌സ്‌,Paperback,56,2009,1988,2024/07/31,2024/07/31,,,read,,,,1,0
32109569,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,"Taylor, Dennis E.",,"=""""","=""""",5,4.27,Worldbuilders Press,Kindle Edition,383,2016,2016,2022/03/06,2022/02/27,,,read,,,,2,0
17373495,ഭൂമിയുടെ അവകാശികള്‍ | Bhoomiyude Avakaashikal,Vaikom Muhammad Basheer,"Basheer, Vaikom Muhammad",,"=""8126405465""","=""9788126405466""",5,4.08,DC Books,Paperback,66,2016,1977,2024/07/11,2024/07/08,,,read,,,,1,0
57678729,The Qualified Sales Leader: Proven Lessons from a Five Time CRO,John McMahon,"McMahon, John",Dev Ittycheria,"=""""","=""""",5,4.39,,Kindle Edition,348,2021,,2024/07/09,2024/07/09,,,read,,,,1,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",5,4.15,Crown Currency,Hardcover,195,2014,2014,2019/04/04,2016/02/27,favorites,favorites (#10),read,,,,3,0
17978758,കഥാബീജം | Kadhabeejam,Vaikom Muhammad Basheer,"Basheer, Vaikom Muhammad",,"=""""","=""""",5,3.74,DC Books,Unknown Binding,,,,2024/07/08,2017/07/16,,,read,,,,1,0
61795027,Think Like a CTO,Alan Williamson,"Williamson, Alan",,"=""1617298859""","=""9781617298851""",5,4.08,Manning,Paperback,320,2023,,2024/06/30,2022/11/30,,,read,,,,1,0
18463279,Kuttavum shikshayum | കുറ്റവും ശിക്ഷയും,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Venu V,Desham","=""""","=""""",5,4.28,D.C Books,Paperback,581,2013,1866,2024/06/23,2024/06/22,,,read,,,,1,0
45027848,"Mental Models: 30 Thinking Tools that Separate the Average From the Exceptional. Improved Decision-Making, Logical Analysis, and Problem-Solving.",Peter Hollins,"Hollins, Peter",,"=""""","=""""",5,3.98,PH Learning Inc.,Kindle Edition,257,2019,2019,2020/10/16,2020/09/27,,,read,,,,2,0
10464006,Save the Cat!: The Last Book on Screenwriting You'll Ever Need,Blake Snyder,"Snyder, Blake",,"=""1615930000""","=""9781615930005""",5,4.02,Michael Wiese Productions,Kindle Edition,215,2005,2005,2024/06/16,2021/02/25,,,read,,,,1,0
25880859,മുകേഷ് കഥകള്‍ ജീവിതത്തിലെ നേരും നര്‍മ്മവും | Mukesh Kadhakal Jeevithathile Nerum narmavum,by Mukesh (Author),"(Author), by Mukesh",,"=""9381788774""","=""9789381788776""",3,3.90,Olive Publications,Paperback,202,2012,2006,2024/06/16,2024/05/15,,,read,,,,1,0
15728928,പ്രതിമയും രാജകുമാരിയും [Prathimayum Rajakumariyum],P. Padmarajan,"Padmarajan, P.",,"=""8171308570""","=""9788171308576""",4,3.94,DC Books,Paperback,92,1991,1991,2024/05/14,2024/05/14,,,read,,,,1,0
55923206,റാം C/O ആനന്ദി [RAM C/O ANANDHI],Akhil P. Dharmajan,"Dharmajan, Akhil P.",,"=""""","=""""",4,4.04,DC Books,Paperback,320,2020,2020,2024/04/10,2024/04/06,,,read,,,,1,0
157095669,Hidden Potential: The Science of Achieving Greater Things,Adam M. Grant,"Grant, Adam M.",,"=""0593653149""","=""9780593653142""",3,4.10,Viking,Hardcover,304,2023,2023,2024/04/06,2024/02/21,,,read,,,,1,0
25383645,How to Mind Map: The Ultimate Thinking Tool That Will Change Your Life,Tony Buzan,"Buzan, Tony",,"=""0007294603""","=""9780007294602""",4,3.78,Harper Collins UK,Paperback,128,2002,2001,2016/08/14,2016/08/14,,,read,,,,1,1
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.50,Ballantine Books,Hardcover,476,2021,2021,2022/02/27,2021/12/20,,,read,,,,3,0
178634494,The Indians: Histories of a Civilization,G.N. Devy,"Devy, G.N.","Tony Joseph, Ravi Korisettar","=""9395853107""","=""9789395853101""",0,3.87,Aleph Book Company,Kindle Edition,648,2023,,,2024/01/28,currently-reading,currently-reading (#5),currently-reading,,,,1,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",5,3.96,Penguin Press,Hardcover,406,2023,2023,2024/01/10,2024/01/10,,,read,,,,1,0
61103157,"Music Production 2022+ Edition: Everything You Need To Know About Producing Music, Studio Recording, Mixing, Mastering and Songwriting in 2022 & Beyond: ... dance music, edm, producing music 1)",Tommy Swindali,"Swindali, Tommy",,"=""""","=""""",2,3.08,,Kindle Edition,336,2022,,2023/12/25,2023/12/25,,,read,,,,1,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",3,4.15,Random House,Hardcover,372,2018,2018,2023/12/24,2023/09/25,,,read,,,,1,0
31429943,Music Theory: From Beginner to Expert - The Ultimate Step-By-Step Guide to Understanding and Learning Music Theory Effortlessly (Essential Learning Tools for Musicians Book 1),Nicolas Carter,"Carter, Nicolas",,"=""""","=""""",5,4.08,,Kindle Edition,245,2016,2016,2023/12/09,2023/12/09,,,read,,,,1,0
21856367,"The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,"Isaacson, Walter",,"=""147670869X""","=""9781476708690""",4,4.12,Simon and Schuster,Hardcover,542,2014,2011,2023/11/09,2023/10/07,,,read,,,,1,0
248954,"If You Want to Write: A Book about Art, Independence and Spirit",Brenda Ueland,"Ueland, Brenda",,"=""1555972608""","=""9781555972608""",0,4.12,Graywolf Press,Paperback,179,1997,2012,,2021/12/22,to-read,to-read (#106),to-read,,,,0,0
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",5,4.01,William Morrow,Hardcover,268,2006,2005,2023/10/07,2023/09/26,,,read,,,,1,0
122765395,Elon Musk,Walter Isaacson,"Isaacson, Walter",,"=""1982181281""","=""9781982181284""",5,4.33,Simon & Schuster,Hardcover,688,2023,2023,2023/09/25,2023/09/19,,,read,,,,1,0
55339408,Noise: A Flaw in Human Judgment,Daniel Kahneman,"Kahneman, Daniel","Olivier Sibony, Cass R. Sunstein","=""0316451401""","=""9780316451406""",0,3.67,"Little, Brown Spark",Hardcover,454,2021,2021,2023/09/25,2023/02/22,,,read,,,,1,0
14743,The God Delusion,Richard Dawkins,"Dawkins, Richard",,"=""0618680004""","=""9780618680009""",2,3.90,Houghton Mifflin Co.,Hardcover,374,2006,2006,2023/09/18,2023/08/15,,,read,,,,1,0
23848190,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,"Willink, Jocko",Leif Babin,"=""1250067057""","=""9781250067050""",4,4.25,St. Martin's Press,Hardcover,320,2015,2015,2023/08/28,2023/08/16,,,read,,,,1,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",5,4.12,Vintage International,Paperback,467,2006,2002,2023/08/14,2023/08/14,,,read,,,,1,0
41795733,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,"=""0735214484""","=""9780735214484""",5,4.13,Riverhead Books,Hardcover,339,2019,2019,2023/08/10,2023/07/16,,,read,,,,1,0
27870441,ശബ്ദങ്ങൾ | Shabdangal,Vaikom Muhammad Basheer,"Basheer, Vaikom Muhammad",,"=""8171303323""","=""9788171303328""",4,3.83,DC Books,Paperback,62,1979,1944,2017/07/16,2017/07/15,favorites,favorites (#38),read,,,,1,1
35008533,"Genius Foods: Become Smarter, Happier, and More Productive While Protecting Your Brain for Life",Max Lugavere,"Lugavere, Max",Paul Grewal,"=""0062562894""","=""9780062562890""",5,4.19,Harper Wave,ebook,400,2018,2018,2023/07/16,2023/03/20,,,read,,,,1,0
17349,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345409469""","=""9780345409461""",3,4.29,Ballantine Books,Paperback,459,1997,1995,2023/07/15,2023/03/30,,,read,,,,1,0
13323236,Kallan Pavithran,P. Padmarajan,"Padmarajan, P.",,"=""8126408774""","=""""",5,3.75,D C Books,Paperback,78,2004,1979,2023/05/21,2023/05/21,,,read,,,,1,0
141565,This Is Your Brain on Music,Daniel J. Levitin,"Levitin, Daniel J.",,"=""0525949690""","=""9780525949695""",4,3.89,Dutton Adult,Hardcover,314,2006,2006,2023/05/20,2023/05/20,,,read,,,,1,0
258914,NLP at Work: The Difference That Makes a Difference in Business,Sue Knight,"Knight, Sue",,"=""1857883020""","=""9781857883022""",1,3.67,Nicholas Brealey Publishing,Paperback,400,2002,1995,2023/04/17,2023/04/17,,,read,,,,1,0
501016,The Mixing Engineer's Handbook,Bobby Owsinski,"Owsinski, Bobby",,"=""1598632515""","=""9781598632514""",5,4.31,Thomson Course Technology,Paperback,290,2006,1999,2023/04/17,2023/04/17,,,read,,,,1,0
25168710,Making Music. 74 Creative Strategies for Electronic Music Producers,Dennis DeSantis,"DeSantis, Dennis",,"=""3981716507""","=""9783981716504""",5,4.48,Ableton,Hardcover,340,2015,2015,2023/04/09,2023/04/01,,,read,,,,1,0
34928122,Artemis,Andy Weir,"Weir, Andy",,"=""0553448129""","=""9780553448122""",5,3.69,Crown,Hardcover,305,2017,2017,2023/03/30,2023/03/29,,,read,,,,1,0
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian  Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",5,4.12,Henry Holt and Co.,Hardcover,368,2016,2016,2020/04/25,2020/03/19,to-buy,to-buy (#1),read,,,,2,0
15824264,Knowledge and Power: The Information Theory of Capitalism and How it is Revolutionizing our World,George Gilder,"Gilder, George",,"=""1621570274""","=""9781621570271""",4,3.93,Regnery,Hardcover,400,2013,2013,2023/02/22,2023/01/18,,,read,,,,1,0
386162,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.22,Del Rey,Paperback,193,2007,1979,2023/01/18,2023/01/08,,,read,,,,1,0
44135420,Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew    Skelton,"Skelton, Matthew",Manuel Pais,"=""1942788827""","=""9781942788829""",5,4.18,It Revolution Press,ebook,240,2019,2019,,2023/01/10,,,read,,,,2,0
14739267,പാവപ്പെട്ടവരുടെ വേശ്യ | Pavappettavarude Vesya,Vaikom Muhammad Basheer,"Basheer, Vaikom Muhammad",,"=""""","=""""",5,3.92,DC Books,Paperback,,,,2017/04/23,2017/04/19,favorites,favorites (#36),read,,,,2,1
18994167,Domain-Driven Design: Tackling Complexity in the Heart of Software,Evans Eric,"Eric, Evans",,"=""""","=""""",0,4.15,Addison-Wesley Professional,Kindle Edition,563,2003,2003,,2023/01/03,currently-reading,currently-reading (#4),currently-reading,,,,1,0
387190,Test-Driven Development: By Example,Kent Beck,"Beck, Kent",,"=""0321146530""","=""9780321146533""",0,4.10,Addison-Wesley Professional,Paperback,216,2002,2002,2023/01/03,2023/01/03,,,read,,,,1,0
638739,"The New Economics for Industry, Government, Education",W. Edwards Deming,"Deming, W. Edwards",,"=""0262541165""","=""9780262541169""",3,4.17,The MIT Press,Paperback,266,2000,1991,2023/01/02,2023/01/02,,,read,,,,1,0
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",5,4.70,O'Reilly,ebook,562,,2015,2022/12/21,2022/11/02,,,read,,,,1,0
63079845,Never Finished: Unshackle Your Mind and Win the War Within,David Goggins,"Goggins, David",,"=""154453406X""","=""9781544534060""",0,4.40,Lioncrest Publishing,Kindle Edition,312,2022,2022,2022/12/21,2022/12/21,,,read,,,,1,0
44144501,Kubernetes Patterns: Reusable Elements for Designing Cloud-Native Applications,Bilgin Ibryam,"Ibryam, Bilgin",Roland Huß,"=""1492050288""","=""9781492050285""",5,4.32,O'Reilly Media,Paperback,266,2019,,2022/12/21,2022/12/21,,,read,,,,1,0
26759355,Kubernetes: Up & Running,Kelsey Hightower,"Hightower, Kelsey","Brendan Burns, Joe Beda","=""1491935677""","=""9781491935675""",5,4.07,O'Reilly,Paperback,202,2016,2016,2022/12/15,2022/12/15,,,read,,,,1,0
44770129,"Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career",Scott H. Young,"Young, Scott H.",James Clear,"=""""","=""""",5,3.95,Harper Business,Kindle Edition,305,2019,2019,2022/12/13,2022/11/30,,,read,,,,1,0
