Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,cover_url,cover_path
944652,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,"Munger, Charles T.",Peter E. Kaufman,"=""157864366X""","=""9781578643660""",4,4.4,Donning Co Pub,Hardcover,512.0,2006.0,2005.0,2025/11/30,2025/11/02,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1387744370i/944652.jpg,images/book-cover/157864366X.jpg
18392442,The Coming of the Martians,H.G. Wells,"Wells, H.G.",,"=""""","=""""",0,3.7,William Heinemann,Hardcover,137.0,1898.0,1898.0,,2025/11/27,to-read,to-read (#109),to-read,,,,0,0,,
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",5,4.2,Plume,Paperback,368.0,2022.0,1949.0,2025/11/25,2025/11/25,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1657781256i/61439040.jpg,images/book-cover/0452284236.jpg
39899254,In the Realm of Hungry Ghosts: Close encounters with addiction,Gabor Maté,"Maté, Gabor",,"=""1785042203""","=""9781785042201""",0,4.48,Vermilion,Paperback,496.0,2018.0,2007.0,,2025/11/09,currently-reading,currently-reading (#7),currently-reading,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1677835492i/39899254.jpg,images/book-cover/1785042203.jpg
12913026,പ്രവാസം | Pravaasam,M. Mukundan,"Mukundan, M.",,"=""812641989X""","=""9788126419890""",5,4.01,DC Books,Paperback,432.0,2008.0,2008.0,2025/11/02,2024/10/06,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1462288114i/12913026.jpg,images/book-cover/812641989X.jpg
216370635,15 Math Concepts Every Data Scientist Should Know: Understand and learn how to apply the math behind data science algorithms,David Hoyle,"Hoyle, David",,"=""1837631948""","=""9781837631940""",0,4.0,Packt Publishing,Kindle Edition,852.0,2024.0,,,2025/01/13,currently-reading,currently-reading (#6),currently-reading,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1721052996i/216370635.jpg,images/book-cover/1837631948.jpg
55145261,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"Green, John",,"=""0525555218""","=""9780525555216""",0,4.35,Dutton,Hardcover,304.0,2021.0,2021.0,,2021/12/20,to-read,to-read (#104),to-read,,,,0,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1616514130i/55145261.jpg,images/book-cover/0525555218.jpg
122750218,റൂത്തിന്റെ ലോകം | Roothinte Lokam,Lajo Jose,"Jose, Lajo",,"=""""","=""""",3,3.68,DC books ,Paperback,232.0,2020.0,,2024/11/05,2024/11/05,,,read,,,,1,0,,
324750,High Output Management,Andrew S. Grove,"Grove, Andrew S.",,"=""0679762884""","=""9780679762881""",4,4.3,Vintage,Paperback,272.0,1995.0,1983.0,2024/10/16,2024/10/16,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1347800461i/324750.jpg,images/book-cover/0679762884.jpg
15775987,പടച്ചോന്റെ തിരക്കഥകള്‍ | Padachonte Thirakkathakal,Sreenivasan,"Sreenivasan, Sreenivasan",,"=""""","=""""",3,3.4,Olive Publications,Paperback,137.0,2008.0,,2024/10/14,2024/10/14,,,read,,,,1,0,,
40036164,"കോഫി ഹൗസ് | Coffee House (Esther Immanuel, #1)",Lajo Jose,"Jose, Lajo",,"=""9387331741""","=""9789387331747""",3,3.47,"Green Books, Thrissur, Kerala",Paperback,232.0,2018.0,,2024/10/13,2024/10/13,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1525480343i/40036164.jpg,images/book-cover/9387331741.jpg
